Unnamed: 0,fuel.consumption.country,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute26,Attribute27,Attribute28,Attribute29,Attribute30,Attribute31,Attribute32,Attribute33,Attribute34,Attribute35,Attribute36,Attribute37
10,11,4.0,1,8,9,4,12,1686,55,18,4400,800,9999,9999,12.3,9999.0,9999.0,15.0,1169,526,21.3,15,21,2,29,34,38,46,4110,1709,1425,2606,170,165,0.609,41.8,2.698,51,57
11,12,4.0,1,8,9,4,12,1686,55,18,4400,800,9999,9999,12.3,9999.0,9999.0,15.0,1189,526,21.6,15,21,2,29,34,38,46,4252,1709,1425,2606,170,165,0.589,41.8,2.698,51,57
12,13,4.0,1,8,9,4,12,1686,55,18,4400,800,9999,9999,12.3,9999.0,9999.0,15.0,1189,526,21.6,15,21,2,29,34,38,46,4110,1709,1425,2606,170,165,0.609,41.8,2.698,51,57
13,14,4.0,1,8,9,4,12,1896,50,20,4200,9999,9999,9999,8.82,9999.0,9999.0,16.0,1070,460,21.4,15,21,1,28,34,39,47,3876,1640,1422,2443,161,133,9999.0,38.6,2.7319999999999998,51,57
14,15,4.0,1,8,9,4,12,1896,81,20,4000,9999,9999,9999,15.58,9999.0,9999.0,10.5,1125,460,13.9,15,21,1,29,34,38,44,3876,1640,1422,2443,193,235,9999.0,45.6,2.4,51,57
15,16,4.0,1,8,9,4,12,1896,47,20,4000,9999,9999,9999,8.28,9999.0,9999.0,18.7,1123,485,23.9,15,21,1,28,34,39,44,3960,1646,1451,2462,152,125,0.643,43.1,2.492,0,57
16,17,4.0,1,8,9,4,12,1896,74,19,4000,9999,9999,9999,15.91,9999.0,9999.0,11.5,1154,495,15.6,15,21,1,29,34,38,45,3960,1646,1451,2462,183,240,0.643,47.9,2.2119999999999997,51,57
17,18,4.0,1,8,9,4,12,1910,59,18,3000,9999,9999,9999,12.9,9999.0,9999.0,12.2,1040,510,17.6,15,21,1,29,34,38,43,3800,1660,1480,2460,170,196,9999.0,48.5,2.186,51,57
18,19,4.0,1,8,9,4,12,1910,59,18,3000,9999,9999,9999,12.9,9999.0,9999.0,12.2,1055,510,17.9,15,21,1,29,34,38,43,3835,1660,1480,2460,170,196,9999.0,48.5,2.186,51,57
19,20,4.0,1,8,9,4,12,1753,55,19,4000,9999,9999,9999,12.54,9999.0,9999.0,12.5,1242,513,22.6,15,22,1,29,34,38,48,4438,1702,1465,2615,184,175,0.675,45.4,2.399,51,57
20,21,4.0,1,8,9,4,12,1896,81,20,4150,860,5000,9999,15.58,9999.0,7.9,11.3,1336,524,16.5,15,21,1,29,34,38,44,4409,1735,1485,2515,193,235,0.6779999999999999,45.1,2.576,51,57
21,22,4.1,1,8,9,4,12,1896,66,20,3750,900,5000,9999,13.92,9999.0,8.4,12.4,1185,560,18.0,15,21,1,29,34,38,47,4152,1735,1427,2513,181,210,0.639,45.3,2.562,51,57
22,23,4.1,1,8,9,4,12,1487,49,22,4600,890,9999,9999,11.16,9999.0,9999.0,14.0,950,495,19.4,15,21,1,29,35,40,44,3741,1608,1424,2443,165,132,0.66,36.2,2.842,0,57
23,24,4.1,1,8,9,4,12,1896,81,20,4150,860,9999,9999,15.58,9999.0,9999.0,11.2,1239,541,15.3,15,21,1,29,34,38,44,4183,1742,1439,2511,193,235,9999.0,45.1,2.576,51,57
24,25,4.1,1,8,9,4,12,1896,66,20,4000,9999,9999,9999,13.92,9999.0,9999.0,12.1,1124,460,17.0,15,21,1,29,34,38,47,3876,1640,1422,2443,180,210,9999.0,46.8,2.2640000000000002,51,57
25,26,4.1,1,8,9,4,12,1896,81,20,4150,860,5000,9999,15.58,9999.0,7.6,10.6,1284,536,15.9,15,21,1,29,34,38,44,4376,1735,1446,2513,193,235,0.633,45.1,2.576,51,57
26,27,4.1,1,8,9,4,12,1994,74,20,4200,9999,9999,9999,15.13,9999.0,9999.0,9.9,1130,470,15.3,15,21,1,29,34,38,44,3990,1688,1419,2500,185,240,9999.0,41.7,2.556,51,0
27,28,4.1,1,8,9,4,12,1753,66,19,4000,9999,9999,9999,14.34,9999.0,9999.0,12.5,1242,513,18.8,15,22,1,29,34,38,48,4438,1702,1465,2615,184,200,0.675,47.4,2.298,51,57
28,29,4.1,1,8,9,4,12,1896,81,20,4150,860,5000,9999,15.58,9999.0,7.9,11.3,1327,523,16.4,15,21,1,29,34,38,44,4397,1735,1485,2515,193,235,0.6779999999999999,45.1,2.576,51,57
29,30,4.1,1,8,9,4,12,1896,81,20,4000,900,5000,9999,15.58,9999.0,7.4,10.9,1188,460,14.7,15,21,1,29,34,38,44,4137,1640,1459,2444,190,235,0.706,45.1,2.4,51,57
30,31,4.2,1,8,9,4,12,1689,66,19,4200,760,4850,4650,13.39,5.1,8.5,12.5,1085,460,16.4,15,19,2,29,34,38,43,3575,1719,1575,2423,175,180,0.736,42.0,2.513,51,55
31,32,4.2,1,8,9,4,12,1689,66,19,4200,760,4850,4650,13.39,5.1,8.5,12.5,1085,460,16.4,15,19,2,29,34,38,43,3575,1719,1575,2423,175,180,0.736,42.0,2.513,51,55
32,33,4.2,2,7,9,3,12,599,33,10,5250,800,6000,6000,14.69,7.2,11.9,18.9,720,260,21.8,15,18,1,29,33,39,42,2500,1516,1551,1812,135,70,0.746,35.7,2.9330000000000003,50,54
33,34,4.2,2,7,9,3,12,599,40,10,5250,800,6000,6000,18.46,7.0,11.4,17.2,720,260,18.0,15,18,1,29,33,39,42,2500,1516,1551,1812,135,88,0.746,35.7,2.9330000000000003,50,54
34,35,4.2,2,7,9,3,12,599,40,10,5250,800,6000,6000,18.46,7.7,11.4,17.5,720,260,18.0,15,18,1,29,33,39,42,2500,1516,1551,1812,135,88,0.746,35.7,2.9330000000000003,50,54
35,36,4.2,2,7,9,3,12,599,40,10,5250,800,6000,6000,18.46,7.0,11.4,17.2,730,260,18.3,15,18,1,29,33,39,42,2514,1537,1548,1812,135,88,9999.0,35.7,2.9330000000000003,50,54
36,37,4.2,1,8,9,4,12,1686,44,22,4400,9999,9999,9999,8.35,9999.0,9999.0,16.5,940,495,21.4,15,21,1,28,35,40,44,3741,1608,1424,2443,155,112,0.66,36.2,2.842,0,57
37,38,4.2,1,8,9,4,12,1686,44,22,4400,9999,9999,9999,8.35,9999.0,9999.0,16.5,970,495,22.0,15,21,1,28,35,40,44,3741,1608,1424,2443,155,112,0.639,36.2,2.842,0,57
38,39,4.2,1,8,9,4,12,1896,50,20,4200,900,5050,9999,8.82,9999.0,9999.0,17.7,1195,545,23.9,15,21,1,28,34,39,47,4183,1742,1439,2511,160,133,9999.0,38.5,3.26,51,57
39,40,4.2,1,8,9,4,12,1896,66,20,4000,860,9999,9999,13.92,9999.0,9999.0,13.0,1232,543,18.7,15,21,1,29,34,38,47,4183,1742,1439,2511,180,210,9999.0,45.3,2.562,51,57
40,41,4.2,1,8,9,4,12,1896,66,20,3750,860,5000,9999,13.92,9999.0,8.8,13.3,1225,415,18.6,15,21,1,29,34,38,47,4081,1695,1425,2472,175,210,0.6509999999999999,44.4,2.387,51,57
41,42,4.2,1,8,9,4,12,1896,81,20,4150,860,5000,9999,15.58,9999.0,7.6,11.3,1225,415,15.1,15,21,1,29,34,38,44,4081,1695,1425,2471,190,235,0.6509999999999999,45.1,2.4,51,57
42,43,4.2,1,8,9,4,12,1527,42,23,5000,800,5450,9999,7.82,9999.0,9999.0,18.7,900,480,21.4,15,21,1,28,35,40,44,3720,1585,1440,2360,146,95,0.6509999999999999,36.4,2.752,0,57
43,44,4.2,1,8,9,4,12,1896,66,20,3750,860,5000,9999,13.92,9999.0,9.0,13.1,1313,532,19.9,15,21,1,29,34,38,47,4397,1735,1485,2515,180,210,0.6779999999999999,45.1,2.576,51,57
44,45,4.2,1,8,9,4,12,1896,50,20,4200,850,5050,9999,8.82,9999.0,11.2,17.3,1159,460,23.2,15,21,1,28,34,39,47,4137,1640,1459,2444,158,133,0.706,38.8,2.7319999999999998,51,57
45,46,4.2,1,8,9,4,12,1896,66,20,3750,860,5000,9999,13.92,9999.0,8.5,12.8,1168,460,17.7,15,21,1,29,34,38,47,4137,1640,1459,2444,176,210,0.706,46.8,2.2640000000000002,51,57
46,47,4.3,1,8,9,4,12,1896,66,20,4000,790,5000,9999,13.92,9999.0,8.8,13.5,1265,550,19.2,15,21,1,29,34,38,44,4479,1733,1416,2617,182,210,0.629,43.7,2.656,51,57
47,48,4.3,1,8,9,4,12,1753,55,19,4000,9999,9999,9999,10.04,9999.0,9999.0,14.3,1050,500,19.1,15,22,1,29,34,38,48,3828,1634,1334,2446,168,140,0.662,36.7,2.93,51,57
48,49,4.3,1,8,9,4,12,1896,81,20,4150,860,9999,9999,15.58,9999.0,9999.0,11.2,1271,514,15.7,15,21,1,29,34,38,44,4439,1742,1436,2513,193,235,0.654,45.1,2.576,51,57
49,50,4.3,1,8,9,4,12,1896,81,20,4150,860,9999,9999,15.58,9999.0,9999.0,11.5,1300,545,16.0,15,21,1,29,34,38,44,4511,1731,1429,2512,192,235,0.6559999999999999,43.9,2.6,51,57
50,51,4.3,1,8,9,4,12,1896,85,18,4000,900,5000,9999,18.89,9999.0,7.3,10.7,1344,556,15.8,15,21,1,29,34,38,45,4675,1740,1459,2703,200,285,0.624,47.6,2.439,51,57
51,52,4.3,1,8,9,4,12,1896,66,20,4000,860,5000,9999,13.92,9999.0,9.2,13.5,1305,555,19.8,15,21,1,29,34,38,47,4675,1740,1459,2703,184,210,0.581,43.7,2.656,51,57
52,53,4.3,1,8,9,4,12,1896,81,20,4150,860,5000,9999,15.58,9999.0,9999.0,11.3,1314,556,16.2,15,21,1,29,34,38,44,4675,1740,1459,2703,196,235,0.581,49.4,2.352,51,57
53,54,4.3,1,8,9,4,12,1527,40,23,5000,800,5450,9999,7.82,9999.0,9999.0,18.3,890,480,22.3,15,21,1,28,35,40,44,3718,1595,1368,2385,158,95,0.619,35.7,2.884,0,57
54,55,4.3,1,8,9,4,12,1870,72,21,4000,9999,9999,9999,13.44,9999.0,9999.0,11.9,1085,495,15.1,15,21,1,29,34,39,47,3931,1698,1366,2463,186,200,0.627,35.4,3.75,51,57
55,56,4.3,1,8,9,4,12,1994,74,20,4200,9999,9999,9999,15.13,9999.0,9999.0,10.6,1230,490,16.6,15,21,1,29,34,38,44,4517,1696,1394,2620,185,240,9999.0,43.1,2.556,51,57
56,57,4.3,1,8,9,4,12,1994,74,20,4200,9999,9999,9999,15.13,9999.0,9999.0,10.6,1230,490,16.6,15,21,1,29,34,38,44,4517,1696,1394,2620,185,240,9999.0,43.1,2.556,51,57
57,58,4.3,1,8,9,4,12,1896,66,20,4000,790,5000,9999,13.92,9999.0,9.0,13.8,1305,550,19.8,15,21,1,29,34,38,44,4479,1733,1416,2617,178,210,0.653,43.7,2.656,51,57
58,59,4.3,1,8,9,4,12,1896,50,20,4200,900,5050,9999,8.82,9999.0,11.8,18.5,1280,535,25.6,15,21,1,28,34,39,47,4397,1735,1485,2515,160,133,0.6779999999999999,38.5,3.18,51,57
59,60,4.4,1,8,9,4,12,1896,85,18,4000,900,5000,9999,20.55,9999.0,9999.0,10.5,1285,550,15.1,15,21,1,29,34,38,45,4479,1733,1416,2617,200,310,0.629,47.6,2.439,51,57
60,61,4.4,1,8,9,4,12,1896,66,20,4000,860,9999,9999,13.92,9999.0,9999.0,13.0,1245,525,18.9,15,21,1,29,34,38,47,4439,1742,1436,2513,181,210,0.654,45.3,2.562,51,57
61,62,4.4,1,8,9,4,12,1896,66,20,4000,850,5000,9999,9999.0,9999.0,9999.0,13.5,1285,545,19.5,15,21,1,29,34,38,47,4511,1731,1429,2512,178,210,0.6559999999999999,45.1,2.576,51,57
62,63,4.4,1,8,9,4,12,1870,72,21,4000,9999,9999,9999,13.44,9999.0,9999.0,12.3,1075,650,14.9,15,21,1,29,34,39,47,4400,1698,1419,2575,183,200,0.617,42.5,2.5,51,57
63,64,4.4,1,8,9,4,12,1870,72,21,4000,9999,9999,9999,13.44,9999.0,9999.0,12.3,1055,650,14.7,15,21,1,29,34,39,47,4129,1696,1419,2575,183,200,0.637,42.5,2.5,51,57
64,65,4.4,1,8,9,4,12,1910,77,18,4000,9999,9999,9999,13.16,9999.0,9999.0,10.4,1170,510,15.2,15,21,1,29,34,38,43,4025,1755,1420,2540,187,200,9999.0,38.1,2.8,51,57
65,66,4.4,1,8,9,4,12,1998,66,19,4000,9999,9999,9999,13.84,9999.0,9999.0,12.2,1255,440,19.0,15,21,1,29,34,39,48,4315,1705,1410,2610,178,220,9999.0,47.0,2.319,51,57
66,67,4.4,1,8,9,4,12,1998,66,19,4000,9999,9999,9999,13.84,9999.0,9999.0,12.2,1270,445,19.2,15,21,1,29,34,39,48,4200,1705,1420,2610,178,220,0.5920000000000001,47.0,2.319,51,57
67,68,4.4,1,7,9,4,12,998,50,10,6000,550,9999,9999,11.33,9999.0,9999.0,13.8,840,415,16.8,15,20,2,28,33,38,42,3615,1660,1500,2370,155,90,9999.0,29.0,3.7,50,54
68,69,4.4,1,8,9,4,12,1896,85,18,4000,900,5000,9999,20.55,9999.0,9999.0,10.7,1320,550,15.5,15,21,1,29,34,38,45,4479,1733,1416,2617,196,310,0.653,47.6,2.439,51,57
69,70,4.4,1,8,9,4,12,1896,85,18,4000,900,5000,9999,18.89,9999.0,7.5,11.1,1351,529,15.9,15,21,1,29,34,38,45,4397,1735,1485,2515,195,285,0.6779999999999999,55.1,2.18,51,57
70,71,4.4,1,8,9,4,12,1896,85,18,4000,900,5000,9999,18.89,9999.0,7.5,11.1,1361,519,16.0,15,21,1,29,34,38,45,4409,1735,1485,2515,195,285,0.6779999999999999,55.1,2.18,51,57
71,72,4.5,2,7,9,3,12,599,40,10,5250,800,6000,6000,18.46,7.7,11.4,17.5,730,260,18.3,15,18,1,29,33,39,42,2514,1537,1548,1812,135,88,9999.0,35.7,2.9330000000000003,50,54
72,73,4.5,1,8,9,4,12,1995,74,19,4300,800,9999,9999,14.49,9999.0,9999.0,12.0,1300,445,17.6,15,24,1,29,34,38,46,4110,1709,1425,2606,188,230,0.609,46.4,2.55,51,57
73,74,4.5,1,8,9,4,12,1995,60,19,4300,800,9999,9999,11.65,9999.0,9999.0,15.5,1320,560,22.0,15,24,1,29,34,38,46,4495,1707,1425,2637,178,185,0.557,42.5,2.7,51,56
74,75,4.5,1,8,9,4,12,1995,74,19,4300,800,9999,9999,12.91,9999.0,9999.0,13.0,1320,570,17.8,15,24,1,29,34,38,46,4495,1707,1425,2637,195,205,0.557,42.5,2.7,51,57
75,76,4.5,1,8,9,4,12,1997,80,18,4000,780,9999,9999,15.73,9999.0,9999.0,12.5,1436,474,18.0,17,21,1,29,34,38,43,4524,1755,1400,2740,191,250,0.6859999999999999,46.2,2.478,51,57
76,77,4.5,1,8,9,4,12,1997,80,18,4000,780,9999,9999,15.73,9999.0,9999.0,12.5,1500,430,18.8,17,21,1,29,34,38,43,4524,1755,1400,2740,191,250,0.6859999999999999,46.2,2.478,51,57
77,78,4.5,1,8,9,4,12,1910,77,18,4000,9999,9999,9999,16.78,9999.0,9999.0,10.4,1210,520,15.7,15,21,1,29,34,38,43,4093,1712,1431,2540,185,255,9999.0,43.8,2.416,51,57
78,79,4.5,1,8,9,4,12,1910,77,18,4000,9999,9999,9999,13.16,9999.0,9999.0,10.6,1195,540,15.5,15,21,1,29,34,38,43,4187,1741,1420,2540,185,200,9999.0,38.1,2.8,51,57
79,80,4.5,1,7,9,4,12,899,29,9,5500,850,9999,9999,9.09,9999.0,9999.0,18.0,735,465,25.3,16,20,1,28,36,39,42,3319,1508,1440,2200,150,65,9999.0,28.5,3.47,50,54
80,81,4.5,1,7,9,4,12,1108,40,10,5500,9999,9999,9999,9.75,9999.0,9999.0,14.8,750,450,18.8,15,21,1,28,36,39,42,3319,1508,1440,2200,150,86,9999.0,35.6,2.7289999999999996,50,54
81,82,4.5,1,8,9,4,12,1998,74,19,4000,9999,9999,9999,13.84,9999.0,9999.0,11.5,1265,510,17.1,15,21,1,29,34,39,46,4590,1710,1430,2610,185,220,0.6579999999999999,45.9,2.455,51,57
82,83,4.5,1,8,9,4,12,1998,74,19,4000,9999,9999,9999,13.84,9999.0,9999.0,11.5,1285,510,17.4,15,21,1,29,34,39,46,4590,1710,1430,2610,185,220,0.6579999999999999,45.9,2.455,51,57
83,84,4.5,1,8,9,4,12,1896,66,20,4000,860,5000,9999,13.92,9999.0,9.4,13.8,1350,550,20.5,15,21,1,29,34,38,47,4669,1740,1496,2703,178,210,0.688,43.7,2.656,51,57
84,85,4.5,1,8,9,4,12,1896,81,20,4150,860,5000,9999,15.58,9999.0,7.5,11.5,1360,550,16.8,15,21,1,29,34,38,44,4669,1740,1496,2703,190,235,0.645,49.4,2.352,51,57
85,86,4.6,1,8,9,4,12,1689,66,19,4200,760,4850,4650,13.39,5.5,8.7,13.3,1110,435,16.8,15,19,2,29,34,38,43,3575,1719,1575,2423,168,180,0.736,48.0,2.199,51,55
86,87,4.6,2,8,9,4,12,2148,85,18,4200,750,4750,4600,14.63,9999.0,9999.0,12.1,1430,555,16.8,15,19,2,29,34,38,43,4526,1728,1426,2715,203,250,9999.0,53.4,2.173,50,57
87,88,4.6,1,8,9,4,12,1896,81,20,4150,830,5000,9999,15.58,9999.0,8.7,12.6,1430,580,17.7,15,21,1,29,34,38,44,4796,1810,1452,2760,194,235,0.613,45.8,2.5269999999999997,51,57
88,89,4.6,1,8,9,4,12,1995,74,19,4300,800,9999,9999,14.49,9999.0,9999.0,12.0,1320,445,17.8,15,24,1,29,34,38,46,4252,1709,1425,2606,188,230,0.589,46.4,2.55,51,57
89,90,4.6,1,8,9,4,12,1995,74,19,4300,800,9999,9999,14.49,9999.0,9999.0,12.0,1320,445,17.8,15,24,1,29,34,38,46,4110,1709,1425,2606,188,230,0.629,46.4,2.55,51,57
90,91,4.6,1,8,9,4,12,1995,60,19,4300,800,9999,9999,11.65,9999.0,9999.0,14.5,1225,520,20.4,15,18,1,29,34,38,48,4110,1709,1425,2606,175,185,0.609,41.9,2.7680000000000002,51,56
91,92,4.6,1,8,9,4,12,1995,60,19,4300,800,9999,9999,11.65,9999.0,9999.0,15.5,1335,560,22.3,15,24,1,29,34,38,46,4495,1707,1425,2637,178,185,0.557,42.5,2.7,51,56
92,93,4.6,1,8,9,4,12,1995,74,19,4300,800,9999,9999,12.91,9999.0,9999.0,13.0,1335,570,18.0,15,24,1,29,34,38,46,4495,1707,1425,2637,195,205,0.557,42.5,2.7,51,57
93,94,4.6,1,8,9,4,12,1997,66,18,4000,9999,9999,9999,12.9,9999.0,9999.0,14.9,1300,550,19.7,15,21,1,29,34,39,43,4276,1751,1637,2760,172,205,0.782,45.4,2.51,51,57
94,95,4.6,1,8,9,4,12,1997,66,18,4000,9999,9999,9999,12.9,9999.0,9999.0,14.9,1300,550,19.7,15,21,1,29,34,39,43,4276,1751,1637,2760,172,205,0.782,45.4,2.51,51,57
95,96,4.6,1,8,9,4,12,1870,72,18,4000,9999,9999,9999,13.44,9999.0,9999.0,12.5,1310,590,18.2,15,21,1,29,34,39,47,4508,1752,1442,2670,185,200,0.621,41.1,2.822,51,57
96,97,4.6,1,8,9,4,12,2172,85,20,4300,9999,9999,4750,15.04,9999.0,9999.0,8.5,1370,520,16.1,15,18,1,29,34,38,46,4629,1711,1428,2605,200,260,9999.0,44.7,2.521,51,56
97,98,4.6,1,8,9,4,12,2172,85,20,4300,900,9999,9999,15.04,9999.0,9999.0,10.9,1370,520,16.1,15,18,1,29,34,38,46,4629,1711,1428,2605,200,260,9999.0,29.5,3.8,51,56
98,99,4.6,1,8,9,4,12,1910,77,18,4000,9999,9999,9999,13.16,9999.0,9999.0,10.8,1190,590,15.5,15,21,1,29,34,38,43,4390,1741,1420,2540,185,200,9999.0,45.1,2.416,51,57
99,100,4.6,1,8,9,4,12,1910,77,18,4000,9999,9999,9999,16.78,9999.0,9999.0,11.3,1310,520,17.0,15,21,1,29,34,38,43,4466,1743,1462,2593,185,255,9999.0,45.4,2.5580000000000003,51,57
100,101,4.6,1,7,9,3,12,989,41,10,5200,9999,9999,9999,11.18,9999.0,9999.0,12.8,720,480,17.6,15,23,2,28,33,39,42,3410,1475,1420,2345,140,88,9999.0,32.1,3.29,50,54
101,102,4.6,1,7,9,3,12,989,41,10,5200,9999,9999,9999,11.18,9999.0,9999.0,12.8,720,480,17.6,15,23,2,28,33,39,42,3410,1475,1420,2345,140,88,9999.0,32.1,3.29,50,54
102,103,4.6,1,7,9,3,12,989,41,10,5200,9999,9999,9999,11.18,9999.0,9999.0,12.8,720,480,17.6,15,23,2,28,33,39,42,3410,1475,1420,2345,140,88,9999.0,32.1,3.29,50,54
103,104,4.6,1,7,9,3,12,989,41,10,5200,9999,9999,9999,11.18,9999.0,9999.0,12.8,720,480,17.6,15,23,2,28,33,39,42,3410,1475,1420,2345,140,88,9999.0,32.1,3.29,50,54
104,105,4.6,1,8,9,4,12,1910,77,18,4000,9999,9999,9999,13.16,9999.0,9999.0,10.8,1250,595,16.2,15,21,1,29,34,38,43,4487,1741,1500,2540,185,200,9999.0,45.1,2.416,51,57
105,106,4.7,2,8,9,4,12,2148,105,18,4200,750,4750,4600,18.43,9999.0,9999.0,10.3,1445,555,13.8,15,19,2,29,34,38,43,4526,1728,1426,2715,220,315,9999.0,52.8,2.2,50,57
106,107,4.7,1,7,9,4,12,1390,55,11,5000,680,9999,9999,11.39,9999.0,9999.0,12.0,895,485,16.3,15,21,2,28,33,39,42,3826,1673,1553,2405,173,126,0.602,9999.0,3.1430000000000002,50,54
107,108,4.7,1,8,9,4,12,1896,66,20,3750,900,5000,9999,13.92,9999.0,8.6,13.7,1200,560,18.2,15,21,1,29,34,38,47,4152,1735,1427,2513,177,210,0.639,43.2,2.685,51,57
108,109,4.7,2,8,9,4,12,1951,100,19,4000,835,4750,9999,18.03,9999.0,9999.0,10.6,1490,510,14.9,15,20,2,29,34,38,48,4775,1799,1439,2830,206,280,0.629,46.2,2.6,51,57
109,110,4.7,2,8,9,4,12,1951,100,19,4000,835,4750,9999,18.03,9999.0,6.7,9.9,1375,500,13.8,15,20,2,29,34,38,48,4471,1739,1415,2725,207,280,0.597,47.0,2.5,51,57
110,111,4.7,1,8,9,4,12,1995,60,19,4300,800,9999,9999,11.65,9999.0,9999.0,14.5,1245,520,20.8,15,18,1,29,34,38,48,4110,1709,1425,2606,175,185,0.629,41.9,2.7680000000000002,51,56
111,112,4.7,1,8,9,4,12,1995,60,19,4300,800,9999,9999,11.65,9999.0,9999.0,14.5,1245,520,20.8,15,18,1,29,34,38,48,4252,1709,1425,2606,175,185,0.589,41.9,2.7680000000000002,51,56
112,113,4.7,1,7,9,3,12,973,40,10,5600,900,9999,9999,10.59,9999.0,9999.0,18.0,865,495,21.6,15,18,2,28,33,39,42,3741,1608,1424,2443,150,82,0.66,36.2,2.842,52,54
113,114,4.7,1,7,9,3,12,973,40,10,5600,900,9999,9999,10.59,9999.0,9999.0,18.0,895,495,22.4,15,18,2,28,33,39,42,3741,1608,1424,2443,150,82,0.639,36.2,2.842,52,54
114,115,4.7,3,8,9,4,12,1896,81,20,4150,860,5000,9999,15.58,9999.0,8.1,12.1,1409,551,17.4,15,21,1,29,34,38,44,4675,1740,1461,2702,194,235,0.602,43.7,2.656,51,57
115,116,4.7,1,8,9,4,12,1910,77,18,4000,9999,9999,9999,16.78,9999.0,9999.0,10.4,1245,520,16.2,15,21,1,29,34,38,43,4257,1712,1425,2540,187,255,9999.0,44.2,2.416,51,57
116,117,4.7,1,8,9,4,12,1910,77,18,4000,9999,9999,9999,16.78,9999.0,9999.0,10.5,1270,500,16.5,15,21,1,29,34,38,43,4430,1745,1415,2595,188,255,0.639,44.3,2.5580000000000003,51,57
117,118,4.7,1,7,9,3,12,993,39,10,5700,850,9999,9999,9.62,9999.0,9999.0,16.0,785,495,20.1,15,21,1,28,36,39,42,3845,1590,1380,2365,145,76,9999.0,32.3,3.18,50,54
118,119,4.7,1,8,9,4,12,1896,81,20,4150,830,5000,9999,15.58,9999.0,8.8,12.8,1485,580,18.3,15,21,1,29,34,38,44,4796,1810,1479,2760,192,235,0.635,45.8,2.5269999999999997,51,57
119,120,4.7,1,8,9,4,12,1997,80,18,4000,780,9999,9999,15.73,9999.0,9999.0,12.8,1484,526,18.6,17,21,1,29,34,38,43,4712,1755,1420,2740,186,250,0.711,46.2,2.478,51,57
120,121,4.7,1,8,9,4,12,1910,77,18,4000,9999,9999,9999,16.78,9999.0,9999.0,11.9,1350,525,17.5,15,21,1,29,34,38,43,4466,1743,1470,2593,185,255,9999.0,45.4,2.5580000000000003,51,57
121,122,4.7,1,8,9,4,12,1998,74,19,4000,9999,9999,9999,13.84,9999.0,9999.0,9999.0,1360,570,18.4,15,21,1,29,34,39,46,4675,1710,1515,2670,175,220,0.772,40.7,2.772,51,57
